"id","type","value","description"
"0","COUNTRY","Украина","страна"
"1","CITY","Днепр","город"
"2","CITY","Харьков","город"
"3","CITY","Киев","город"
"4","CITY","Запорожье","город"
"5","CITY","Черкассы","город"
"6","MOBILE_PHONE","+380939393931","мобильный телефон контактный"
"7","MOBILE_PHONE","+380939393932","мобильный телефон рабочий"
"8","MOBILE_PHONE","+380939393933","мобильный телефон рабочий"
"9","MOBILE_PHONE","+380939393934","мобильный телефон рабочий"
"10","MOBILE_PHONE","+380939393935","мобильный телефон рабочий"
"11","MOBILE_PHONE","+380939393936","мобильный телефон рабочий"
"12","MOBILE_PHONE","+380939393937","мобильный телефон рабочий"
"13","ADDRESS","Поля, 32","Адрес"
"14","ADDRESS","Поля, 33","Адрес"

